"Actor","Source","ID","Title","Year","Rated","Type","Actors","Genre","Metascore","imdbRating","imdbVotes","tomatoMeter","tomatoRating","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","BoxOffice","Production"
"Samuel L. Jackson","Money","tt2088003","Big Game","2014","PG-13","movie","Samuel L. Jackson, Onni Tommila, Ray Stevenson, Victor Garber","Action, Adventure","53","5.5","19,495","76","6.1","34","2.8","8651","N/A","EuropaCorp"
"Samuel L. Jackson","Money","tt2044801","Kite","2014","R","movie","India Eisley, Jaco Muller, Annabel Linder, Christina Storm","Action, Crime, Thriller","19","4.4","3,997","0","2.8","17","2.2","1984","N/A","Anchor Bay Entertainment"
"Samuel L. Jackson","Money","tt2364582","Agents of S.H.I.E.L.D.","2013–","TV-PG","series","Clark Gregg, Ming-Na Wen, Chloe Bennet, Iain De Caestecker","Action, Drama, Sci-Fi","N/A","7.5","137,440","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1843866","Captain America: The Winter Soldier","2014","PG-13","movie","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","Action, Adventure, Sci-Fi","70","7.8","482,150","89","7.5","92","4.3","274945","N/A","Walt Disney Pictures"
"Samuel L. Jackson","Money","tt0320037","Jimmy Kimmel Live!","2003–","TV-14","series","Jimmy Kimmel","Comedy, Music, Talk-Show","N/A","6.9","8,198","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1234721","RoboCop","2014","PG-13","movie","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","Action, Sci-Fi, Thriller","52","6.2","181,067","49","5.6","50","3.3","126688","$58.6M","Sony Pictures Releasing"
"Samuel L. Jackson","Money","tt2304953","Reasonable Doubt","2014","R","movie","Dominic Cooper, Samuel L. Jackson, Gloria Reuben, Ryan Robbins","Crime, Thriller","19","5.7","13,784","13","3.2","31","2.9","2175","N/A","Lionsgate Films"
"Samuel L. Jackson","Money","tt1321511","Oldboy","2013","R","movie","Josh Brolin, Elizabeth Olsen, Sharlto Copley, Samuel L. Jackson","Action, Drama, Mystery","49","5.8","50,186","42","5.2","37","2.9","26115","N/A","FilmDistrict"
"Samuel L. Jackson","Money","tt3250118","Everything Is Samuel L. Jackson's Fault","2013","N/A","movie","Nicole Byer, D'Arcy Carden, Eugene Cordero, Amy Heidt","Short, Comedy","N/A","7.1","130","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1860353","Turbo","2013","PG","movie","Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson","Animation, Adventure, Comedy","58","6.5","61,457","67","6.1","66","3.7","89126","$83.0M","DreamWorks Animation"
"Samuel L. Jackson","Money","tt1853728","Django Unchained","2012","R","movie","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","Drama, Western","81","8.5","937,301","88","8.0","91","4.3","424550","$162.8M","The Weinstein Co."
"Samuel L. Jackson","Money","tt1488181","Zambezia","2012","G","movie","Leonard Nimoy, Jeremy Suarez, Abigail Breslin, Jeff Goldblum","Animation, Adventure, Comedy","N/A","5.8","5,141","17","5.2","42","3.0","600","N/A","Sony Pictures Home Entertainment"
"Samuel L. Jackson","Money","tt0848228","The Avengers","2012","PG-13","movie","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action, Adventure, Sci-Fi","69","8.1","980,989","92","8.0","91","4.4","1127684","$623.3M","Walt Disney Pictures"
"Samuel L. Jackson","Money","tt1810697","Meeting Evil","2012","R","movie","Luke Wilson, Samuel L. Jackson, Leslie Bibb, Peyton List","Crime, Drama, Mystery","N/A","5.3","9,900","13","2.6","31","2.7","5848","$181","Magnolia Pictures"
"Samuel L. Jackson","Money","tt1867093","The Samaritan","2012","R","movie","Samuel L. Jackson, Luke Kirby, Ruth Negga, A.C. Peterson","Crime, Drama, Thriller","37","5.6","7,556","24","4.2","40","3.0","5287","$1.7k","IFC Films"
"Samuel L. Jackson","Money","tt0458254","The Colbert Report","2005–2015","TV-14","series","Stephen Colbert","Comedy, News, Talk-Show","N/A","8.6","29,931","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1117581","Arena","2011","R","movie","Samuel L. Jackson, Kellan Lutz, Johnny Messner, Katia Winter","Action, Thriller","N/A","4.8","10,128","N/A","N/A","N/A","N/A","8","N/A","Eros Entertainment"
"Samuel L. Jackson","Money","tt0458339","Captain America: The First Avenger","2011","PG-13","movie","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones","Action, Adventure, Sci-Fi","66","6.9","497,551","80","6.9","74","3.7","182648","$176.6M","Paramount Pictures"
"Samuel L. Jackson","Money","tt0800369","Thor","2011","PG-13","movie","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins","Action, Adventure, Fantasy","57","7.0","526,314","77","6.7","76","3.8","242014","$181.0M","Paramount Pictures"
"Samuel L. Jackson","Money","tt1612560","Lego Star Wars III: The Clone Wars","2011","N/A","game","David Acord, Dee Bradley Baker, Corey Burton, Ashley Eckstein","Sci-Fi","N/A","7.7","337","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1510938","The Sunset Limited","2011","TV-MA","movie","Samuel L. Jackson, Tommy Lee Jones","Drama","N/A","7.4","20,918","N/A","N/A","79","3.9","2245","N/A","HBO"
"Samuel L. Jackson","Money","tt0312305","Quantum Quest: A Cassini Space Odyssey","2010","N/A","movie","Chris Pine, Amanda Peet, Samuel L. Jackson, Hayden Christensen","Animation, Sci-Fi, Adventure","N/A","5.3","241","N/A","N/A","68","3.9","1179","N/A","N/A"
"Samuel L. Jackson","Money","tt0373732","The Boondocks","2005–","TV-MA","series","Regina King, John Witherspoon, Gary Anthony Williams, Cedric Yarbrough","Animation, Action, Comedy","N/A","8.4","21,182","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1386588","The Other Guys","2010","PG-13","movie","Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes","Action, Comedy, Crime","64","6.7","187,109","78","6.7","59","3.4","159350","$119.2M","Columbia Pictures"
"Samuel L. Jackson","Money","tt0914863","Unthinkable","2010","R","movie","Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root","Drama, Thriller","N/A","7.1","71,141","N/A","N/A","66","3.5","13761","N/A","Senator Entertainment"
"Samuel L. Jackson","Money","tt1371159","Iron Man 2","2010","N/A","game","Don Cheadle, Eric Loomis, Samuel L. Jackson, Phil LaMarr","Action, Adventure, Sci-Fi","N/A","6.2","323","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1228705","Iron Man 2","2010","PG-13","movie","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson","Action, Adventure, Sci-Fi","57","7.0","515,464","72","6.5","72","3.7","475346","$312.1M","Paramount Studios"
"Samuel L. Jackson","Money","tt2111324","Heroes of Newerth","2010","N/A","game","Samuel L. Jackson, Jennifer Alyx, Jasen Anthony, Ellie Baer","N/A","N/A","8.0","95","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1637997","The RRF in New Recruit","2010","N/A","movie","David Bowers, Samuel L. Jackson, Matt Lucas, Bill Nighy","Animation, Short, Comedy","N/A","5.1","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0375568","Astro Boy","2009","PG","movie","Charlize Theron, Freddie Highmore, Ryan Stiles, Eugene Levy","Animation, Action, Comedy","53","6.3","25,378","49","5.6","50","3.3","148255","$19.5M","Summit Entertainment"
"Samuel L. Jackson","Money","tt1121977","Mother and Child","2009","R","movie","Alexandria M. Salling, Connor Kramme, Annette Bening, Eileen Ryan","Drama, Romance","64","7.2","9,634","78","6.6","76","3.7","6855","$1.1M","Sony Pictures Classics"
"Samuel L. Jackson","Money","tt0361748","Inglourious Basterds","2009","R","movie","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","Adventure, Drama, War","69","8.3","865,544","89","7.8","87","3.9","771342","$120.5M","The Weinstein Company"
"Samuel L. Jackson","Money","tt1346947","Afro Samurai","2009","N/A","game","Samuel L. Jackson, Kelly Hu, Ron Perlman, S. Scott Bullock","Action, Adventure, Drama","N/A","7.4","272","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1265998","Afro Samurai: Resurrection","2009","TV-MA","movie","Samuel L. Jackson, Lucy Liu, Mark Hamill, Grey Griffin","Animation, Action, Adventure","N/A","7.3","6,607","N/A","N/A","73","3.8","2451","N/A","FUNimation"
"Samuel L. Jackson","Money","tt0831887","The Spirit","2008","PG-13","movie","Jaime King, Gabriel Macht, Dan Gerrity, Arthur the Cat","Action, Crime, Fantasy","30","4.8","53,613","14","3.6","25","2.5","122591","$19.8M","Lionsgate Films"
"Samuel L. Jackson","Money","tt1111948","Soul Men","2008","R","movie","Samuel L. Jackson, Bernie Mac, Sharon Leal, Adam Herschman","Comedy, Drama, Music","49","6.5","7,730","45","5.0","58","3.3","54210","$12.0M","MGM"
"Samuel L. Jackson","Money","tt0810880","Gospel Hill","2008","N/A","movie","Chloe Bailey, Adam Baldwin, Angela Bassett, Casey Belville","Drama","N/A","5.4","727","33","5.1","37","3.1","601","N/A","Fox"
"Samuel L. Jackson","Money","tt0947802","Lakeview Terrace","2008","PG-13","movie","Samuel L. Jackson, Patrick Wilson, Kerry Washington, Ron Glass","Crime, Drama, Thriller","47","6.1","40,050","45","5.5","39","3.1","138883","$39.3M","Sony Pictures/Screen Gems"
"Samuel L. Jackson","Money","tt1185834","Star Wars: The Clone Wars","2008","PG","movie","Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker","Animation, Action, Adventure","35","5.8","41,568","18","4.2","38","3.0","162024","$35.1M","Warner Bros. Pictures"
"Samuel L. Jackson","Money","tt0371746","Iron Man","2008","PG-13","movie","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow","Action, Adventure, Sci-Fi","79","7.9","689,098","94","7.7","91","4.2","1074369","$318.3M","Paramount Pictures"
"Samuel L. Jackson","Money","tt0489099","Jumper","2008","PG-13","movie","Hayden Christensen, Jamie Bell, Rachel Bilson, Diane Lane","Action, Adventure, Sci-Fi","35","6.1","241,363","16","4.0","44","3.1","320798","$80.1M","20th Century Fox"
"Samuel L. Jackson","Money","tt0896798","Cleaner","2007","R","movie","Samuel L. Jackson, Ed Harris, Eva Mendes, Luis Guzmán","Crime, Mystery, Thriller","N/A","6.1","32,189","17","4.4","40","3.1","16434","N/A","Screen Gems"
"Samuel L. Jackson","Money","tt0159876","Great Performances","1971–","N/A","series","Julie Andrews, Plácido Domingo, Walter Cronkite, Renée Fleming","Biography, Drama, Music","N/A","8.3","378","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0450385","1408","2007","PG-13","movie","John Cusack, Paul Birchard, Margot Leicester, Walter Lewis","Fantasy, Horror","64","6.8","207,717","79","6.6","61","3.4","744423","$71.9M","MGM/Dimension"
"Samuel L. Jackson","Money","tt0465316","Afro Samurai","2007","TV-MA","series","Samuel L. Jackson, Phil LaMarr, Yuri Lowenthal, Greg Eagles","Animation, Action, Adventure","N/A","7.8","11,543","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0416185","Resurrecting the Champ","2007","PG-13","movie","Samuel L. Jackson, Josh Hartnett, Kathryn Morris, Dakota Goyo","Drama, Sport","55","6.8","18,325","60","6.1","60","3.4","29858","$2.9M","Yari Film Group Releasing"
"Samuel L. Jackson","Money","tt0763840","Home of the Brave","2006","R","movie","Samuel L. Jackson, Jessica Biel, Brian Presley, 50 Cent","Action, Drama, War","42","5.6","9,280","23","4.1","47","3.2","22202","N/A","MGM"
"Samuel L. Jackson","Money","tt0462200","Black Snake Moan","2006","R","movie","Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson","Drama, Music","52","7.0","51,926","66","6.4","69","3.3","413150","$9.3M","Paramount Vantage"
"Samuel L. Jackson","Money","tt0417148","Snakes on a Plane","2006","R","movie","Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard","Action, Adventure, Crime","58","5.6","114,668","68","6.2","49","2.9","463165","$33.9M","New Line Cinema"
"Samuel L. Jackson","Money","tt0349467","Freedomland","2006","R","movie","Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard","Crime, Drama, Mystery","43","5.1","13,396","23","4.6","25","2.7","100997","$12.3M","Sony Pictures Entertainment"
"Samuel L. Jackson","Money","tt0488539","Farce of the Penguins","2006","R","movie","Samuel L. Jackson, Alyson Hannigan, Bob Saget, Brie Larson","Animation, Comedy","N/A","4.2","4,296","N/A","N/A","35","2.7","12944","N/A","ThinkFilm"
"Samuel L. Jackson","Money","tt0399327","The Man","2005","PG-13","movie","Samuel L. Jackson, Eugene Levy, Miguel Ferrer, Luke Goss","Action, Comedy, Crime","33","5.5","21,813","12","3.3","41","2.9","85164","$8.3M","New Line Cinema"
"Samuel L. Jackson","Money","tt0445114","Extras","2005–2007","TV-MA","series","Ricky Gervais, Ashley Jensen, Stephen Merchant, Shaun Williamson","Comedy, Drama","N/A","8.4","39,742","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0121766","Star Wars: Episode III - Revenge of the Sith","2005","PG-13","movie","Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid","Action, Adventure, Fantasy","68","7.6","513,492","79","7.3","65","3.1","33676283","N/A","20th Century Fox"
"Samuel L. Jackson","Money","tt0329774","xXx: State of the Union","2005","PG-13","movie","Willem Dafoe, Samuel L. Jackson, Ice Cube, Scott Speedman","Action, Adventure, Crime","37","4.3","50,460","16","3.8","32","2.8","112992","$26.1M","Sony Pictures"
"Samuel L. Jackson","Money","tt0486141","The Adventures of Mr. Incredible","2005","N/A","movie","Craig T. Nelson, Samuel L. Jackson, Roger Jackson, Pete Docter","Animation, Short","N/A","7.2","535","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0393162","Coach Carter","2005","PG-13","movie","Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez","Drama, Sport","57","7.2","91,286","65","6.1","85","3.7","406230","$67.2M","Paramount Pictures"
"Samuel L. Jackson","Money","tt0433576","The Incredibles","2004","N/A","game","Corey Burton, Elizabeth Daily, Chris Edgerly, Spencer Fox","N/A","N/A","7.6","651","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0317705","The Incredibles","2004","PG","movie","Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee","Animation, Action, Adventure","90","8.0","471,641","N/A","N/A","N/A","N/A","56","N/A","N/A"
"Samuel L. Jackson","Money","tt0383385","Grand Theft Auto: San Andreas","2004","N/A","game","Young Maylay, Faizon Love, Yolanda Whittaker, Clifton Powell","Action, Adventure, Comedy","N/A","9.5","24,078","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0378194","Kill Bill: Vol. 2","2004","R","movie","Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks","Action, Crime, Thriller","83","8.0","507,136","84","7.7","89","3.8","838912","N/A","Miramax Films"
"Samuel L. Jackson","Money","tt0315297","Twisted","2004","R","movie","Ashley Judd, Samuel L. Jackson, Andy Garcia, David Strathairn","Crime, Drama, Mystery","26","5.2","16,881","1","2.9","31","2.8","19036","$25.0M","Paramount Pictures"
"Samuel L. Jackson","Money","tt0349260","In My Country","2004","R","movie","Samuel L. Jackson, Juliette Binoche, Brendan Gleeson, Menzi Ngubane","Drama, Romance","44","6.1","2,160","22","4.8","57","3.3","3266","N/A","Sony Pictures Classics"
"Samuel L. Jackson","Money","tt0257076","S.W.A.T.","2003","PG-13","movie","Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J","Action, Crime, Thriller","45","6.0","118,685","48","5.4","52","3.1","273209","$116.6M","Columbia Pictures"
"Samuel L. Jackson","Money","tt0264395","Basic","2003","R","movie","John Travolta, Connie Nielsen, Samuel L. Jackson, Tim Daly","Action, Crime, Drama","34","6.5","49,556","21","4.5","63","3.2","56583","$26.5M","Sony Pictures Entertainment"
"Samuel L. Jackson","Money","tt0361185","Freedom: A History of Us","2003–","N/A","series","Katie Couric, Eric Foner, Philip Bosco, Tom Hanks","Documentary, History","N/A","6.2","263","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0295701","xXx","2002","PG-13","movie","Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson","Action, Adventure","48","5.8","141,432","48","5.6","59","3.2","463539","$141.1M","Columbia Pictures"
"Samuel L. Jackson","Money","tt0292610","No Good Deed","2002","R","movie","Samuel L. Jackson, Milla Jovovich, Stellan Skarsgård, Doug Hutchison","Action, Crime, Drama","N/A","5.5","5,959","20","4.0","26","2.8","4219","N/A","Mac Releasing"
"Samuel L. Jackson","Money","tt0121765","Star Wars: Episode II - Attack of the Clones","2002","PG","movie","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee","Action, Adventure, Fantasy","54","6.7","457,896","65","6.6","58","3.3","846147","$307.9M","20th Century Fox"
"Samuel L. Jackson","Money","tt0264472","Changing Lanes","2002","R","movie","Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette","Drama, Thriller","69","6.5","56,802","77","7.0","53","3.0","54952","$66.7M","Paramount Pictures"
"Samuel L. Jackson","Money","tt0372217","The Comeback","2002","N/A","movie","Samuel L. Jackson, Jimmy Brennan, Christopher Carrizzo, Diane Carrizzo","Short, Sport","N/A","6.0","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0227984","Formula 51","2001","R","movie","Samuel L. Jackson, Nigel Whitmey, Robert Jezek, Emily Mortimer","Action, Comedy, Crime","23","6.3","42,680","25","4.3","59","3.1","36808","$5.1M","Screen Gems"
"Samuel L. Jackson","Money","tt0293737","The Proud Family","2001–2005","TV-Y","series","Kyla Pratt, Tommy Davidson, Tara Strong, Paula Jai Parker","Animation, Family, Comedy","N/A","6.1","4,234","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0182000","The Caveman's Valentine","2001","R","movie","Samuel L. Jackson, Colm Feore, Ann Magnuson, Damir Andrei","Crime, Drama, Music","44","6.0","5,566","46","5.2","52","3.1","6136","N/A","Universal Pictures"
"Samuel L. Jackson","Money","tt0217869","Unbreakable","2000","PG-13","movie","Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark","Drama, Mystery, Sci-Fi","62","7.2","243,542","68","6.2","77","3.4","287838","N/A","Touchstone Pictures"
"Samuel L. Jackson","Money","tt0162650","Shaft","2000","R","movie","Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale","Action, Crime, Thriller","50","5.9","57,889","68","6.1","41","2.9","64499","$70.3M","Paramount Pictures"
"Samuel L. Jackson","Money","tt0160797","Rules of Engagement","2000","R","movie","Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley","Drama, Thriller, War","45","6.4","37,360","36","5.0","55","3.2","49352","N/A","Paramount Pictures"
"Samuel L. Jackson","Money","tt0299479","Any Given Wednesday","2000","N/A","movie","Samuel L. Jackson, Chris Kattan","Short, Comedy","N/A","5.7","149","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0248271","Our Friend, Martin","1999","TV-G","movie","Edward Asner, Angela Bassett, Lucas Black, Theodore Borders","Animation, Drama, Family","N/A","6.6","621","N/A","N/A","65","3.9","657","N/A","Twentieth Century Fox Home Entertainment"
"Samuel L. Jackson","Money","tt0149261","Deep Blue Sea","1999","R","movie","Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie","Action, Sci-Fi, Thriller","54","5.8","98,140","56","5.6","38","2.8","378778","N/A","Warner Bros. Pictures"
"Samuel L. Jackson","Money","tt0120915","Star Wars: Episode I - The Phantom Menace","1999","PG","movie","Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd","Action, Adventure, Fantasy","51","6.5","527,955","N/A","N/A","26","2.3","184","N/A","N/A"
"Samuel L. Jackson","Money","tt0120802","The Red Violin","1998","R","movie","Carlo Cecchi, Irene Grazioli, Anita Laurenzi, Tommaso Puntelli","Drama, Romance, Mystery","57","7.7","26,645","73","7.1","91","3.9","34767","N/A","Lions Gate"
"Samuel L. Jackson","Money","tt0120768","The Negotiator","1998","R","movie","Samuel L. Jackson, Kevin Spacey, David Morse, Ron Rifkin","Action, Crime, Drama","62","7.3","106,233","N/A","N/A","100","3.5","40","N/A","N/A"
"Samuel L. Jackson","Money","tt0120780","Out of Sight","1998","R","movie","George Clooney, Jennifer Lopez, Jim Robinson, Mike Malone","Crime, Drama, Romance","85","7.0","71,192","93","7.9","74","3.2","59253","N/A","Universal Pictures"
"Samuel L. Jackson","Money","tt0120184","Sphere","1998","PG-13","movie","Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote","Drama, Mystery, Sci-Fi","35","6.0","80,679","12","4.0","39","2.7","58297","N/A","Warner Home Video"
"Samuel L. Jackson","Money","tt0119396","Jackie Brown","1997","R","movie","Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda","Crime, Thriller","64","7.5","236,983","87","7.4","85","3.5","213531","N/A","Miramax Films"
"Samuel L. Jackson","Money","tt0119080","Eve's Bayou","1997","R","movie","Jurnee Smollett-Bell, Meagan Good, Lynn Whitfield, Samuel L. Jackson","Drama","78","7.3","6,846","80","7.5","90","3.9","8201","N/A","Lions Gate Films"
"Samuel L. Jackson","Money","tt0118531","One Eight Seven","1997","R","movie","Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr.","Drama, Thriller","N/A","6.7","17,585","30","5.2","68","3.3","20692","N/A","Warner Home Video"
"Samuel L. Jackson","Money","tt0111996","Happily Ever After: Fairy Tales for Every Child","1995–2000","TV-Y","series","Robert Guillaume","Animation, Adventure, Fantasy","N/A","6.5","364","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0116908","The Long Kiss Goodnight","1996","R","movie","Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko","Action, Crime, Drama","44","6.7","59,930","67","6.0","70","3.3","61943","N/A","New Line Home Entertainment"
"Samuel L. Jackson","Money","tt0117913","A Time to Kill","1996","R","movie","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey","Crime, Drama, Thriller","54","7.4","98,280","67","6.1","86","3.6","94556","N/A","Warner Home Video"
"Samuel L. Jackson","Money","tt0117958","Trees Lounge","1996","R","movie","Carol Kane, Mark Boone Junior, Steve Buscemi, Bronson Dudley","Comedy, Drama","N/A","7.2","11,278","81","7.0","79","3.6","6528","N/A","Live Home Video"
